5478	6829	hprd
9533	113	kegg
4188	286301	hprd
5934	1870	kegg
5241	79004	hprd
11113	27185	hprd
7057	1991	hprd
5580	5290	hprd
27134	137075	kegg
8622	271	kegg
55250	3717	hprd
2287	1459	hprd
113451	2729	kegg
1660	10482	hprd
9133	51343	kegg
10401	6774	hprd,kegg
8029	213	hprd
5062	85366	kegg
4632	59	hprd
3983	10241	hprd
9699	9545	hprd
9266	23545	hprd
3337	3303	hprd
5469	2625	hprd
204	51251	kegg
1610	2731	kegg
898	1870	kegg
55742	5829	hprd
2011	4215	hprd
164	55435	hprd
8503	3630	kegg
1581	6258	kegg
990	5523	hprd
221357	29785	kegg
5682	5347	hprd
2321	5154	kegg
5578	4067	kegg
2665	4218	hprd
4175	84289	hprd
3983	71	hprd
6197	3479	kegg
3091	2033	hprd,kegg
80227	5700	hprd
641	8243	hprd
5901	64750	hprd
1213	408	hprd
8521	10014	hprd
9146	23265	hprd
8516	83660	kegg
10617	56259	hprd
6351	2353	kegg
3672	1311	kegg
3611	10000	kegg
3357	2769	kegg
1397	5783	hprd
5611	5610	hprd
9462	7532	hprd
5295	1139	hprd
4609	1021	kegg
29760	973	hprd
23162	5609	hprd,kegg
5290	3630	kegg
9475	8394	kegg
335	8794	hprd
5467	51176	kegg
23305	6256	kegg
9869	8761	hprd
6690	2006	hprd
122953	8850	hprd
8668	7048	hprd
640	973	hprd
4591	54840	hprd
5313	196883	kegg
7475	8326	kegg
9804	79577	hprd
6452	7535	hprd
2146	80349	hprd
1019	5933	hprd,kegg
8663	8666	hprd
163688	5506	kegg
6482	2524	kegg
55257	64769	hprd
5567	64764	kegg
113026	8871	kegg
112574	6654	hprd
2335	4089	hprd
1280	6385	kegg
6783	54659	kegg
2534	867	hprd,kegg
55090	9968	hprd
5293	1398	kegg
11345	9527	hprd
1282	6291	hprd
958	330	hprd
10369	10235	kegg
5049	25842	hprd
4800	10513	hprd
58	6709	hprd
55660	51186	hprd
3679	1292	kegg
314	6303	kegg
2064	4582	hprd
11187	1823	hprd
10686	7082	hprd,kegg
5293	3562	hprd
5300	56893	hprd
5549	4811	hprd
5914	23054	hprd
4286	6195	hprd
914	966	hprd
51295	57154	hprd
9638	6602	hprd
9950	5861	hprd
1282	6288	hprd
6016	5900	hprd
4188	168417	hprd
836	4780	hprd
5580	119	hprd
2534	9846	kegg
9328	9329	hprd
207	2475	hprd,kegg
2885	8660	hprd,kegg
5207	3098	kegg
5931	672	hprd
11185	10196	kegg
249	254552	kegg
10901	9536	kegg
8562	28985	hprd
55832	8454	hprd
22927	10210	hprd
1278	9672	kegg
2886	2885	hprd
55755	20	hprd
5111	1647	hprd,kegg
826	9551	hprd
6714	945	hprd
51100	3064	hprd
7529	23367	hprd
5578	490	hprd
5337	160851	kegg
8324	56893	hprd
4791	1147	hprd,kegg
23114	6386	hprd
4862	8850	hprd
5549	2335	hprd
116449	3937	hprd
51529	10393	hprd,kegg
10763	8851	hprd
6498	2752	hprd
1387	2908	hprd
10093	1729	kegg
10588	4522	kegg
7068	9318	hprd
4267	56893	hprd
2880	246	kegg
10969	2248	hprd
2081	3309	hprd
6196	3479	kegg
4097	84060	hprd
3479	3480	hprd,kegg
3101	5236	kegg
8833	5144	kegg
4907	54981	kegg
5433	3000	kegg
6655	10125	kegg
50944	6196	hprd
5431	1503	kegg
5333	5289	kegg
